time,arm,reward,cost,performance,estimates,counts
1,1,-1,-1,-1,"[0, 0]","[0, 1]"
2,0,-1,-1,-1,"[0, 0]","[1, 1]"
3,1,-1,-1,-1,"[0, 0]","[1, 2]"
4,1,-1,-1,-1,"[0, 0]","[1, 3]"
5,0,-1,-1,-1,"[0, 0]","[2, 3]"
6,1,-1,-1,-1,"[0, 0]","[2, 4]"
7,1,-1,-1,-1,"[0, 0]","[2, 5]"
8,0,-1,-1,-1,"[0, 0]","[3, 5]"
9,1,-1,-1,-1,"[0, 0]","[3, 6]"
10,0,-1,-1,-1,"[0, 0]","[4, 6]"
11,1,-1,-1,-1,"[0, 0]","[4, 7]"
12,1,-1,-1,-1,"[0, 0]","[4, 8]"
13,0,-1,-1,-1,"[0, 0]","[5, 8]"
14,0,-1,-1,-1,"[0, 0]","[6, 8]"
15,1,-1,-1,-1,"[0, 0]","[6, 9]"
16,0,-1,-1,-1,"[0, 0]","[7, 9]"
17,1,-1,-1,-1,"[0, 0]","[7, 10]"
18,0,-1,-1,-1,"[0, 0]","[8, 10]"
19,0,-1,-1,-1,"[0, 0]","[9, 10]"
20,0,-1,-1,-1,"[0, 0]","[10, 10]"
21,0,-1,-1,-1,"[0, 0]","[11, 10]"
22,0,-1,-1,-1,"[0, 0]","[12, 10]"
23,1,-1,-1,-1,"[0, 0]","[12, 11]"
24,1,-1,-1,-1,"[0, 0]","[12, 12]"
25,0,-1,-1,-1,"[0, 0]","[13, 12]"
26,1,-1,-1,-1,"[0, 0]","[13, 13]"
27,1,-1,-1,-1,"[0, 0]","[13, 14]"
28,0,-1,-1,-1,"[0, 0]","[14, 14]"
29,1,-1,-1,-1,"[0, 0]","[14, 15]"
30,0,-1,-1,-1,"[0, 0]","[15, 15]"
