time,arm,reward,cost,performance,estimates,counts
1,1,-1,-1,-1,"[0, 0]","[0, 1]"
2,1,-1,-1,-1,"[0, 0]","[0, 2]"
3,1,-1,-1,-1,"[0, 0]","[0, 3]"
4,1,-1,-1,-1,"[0, 0]","[0, 4]"
5,1,-1,-1,-1,"[0, 0]","[0, 5]"
6,0,-1,-1,-1,"[0, 0]","[1, 5]"
7,1,-1,-1,-1,"[0, 0]","[1, 6]"
8,1,-1,-1,-1,"[0, 0]","[1, 7]"
9,1,-1,-1,-1,"[0, 0]","[1, 8]"
10,1,-1,-1,-1,"[0, 0]","[1, 9]"
11,0,-1,-1,-1,"[0, 0]","[2, 9]"
12,0,-1,-1,-1,"[0, 0]","[3, 9]"
13,0,-1,-1,-1,"[0, 0]","[4, 9]"
14,1,-1,-1,-1,"[0, 0]","[4, 10]"
15,0,-1,-1,-1,"[0, 0]","[5, 10]"
16,1,-1,-1,-1,"[0, 0]","[5, 11]"
17,1,-1,-1,-1,"[0, 0]","[5, 12]"
18,1,-1,-1,-1,"[0, 0]","[5, 13]"
19,0,-1,-1,-1,"[0, 0]","[6, 13]"
20,0,-1,-1,-1,"[0, 0]","[7, 13]"
21,1,-1,-1,-1,"[0, 0]","[7, 14]"
22,0,-1,-1,-1,"[0, 0]","[8, 14]"
23,1,-1,-1,-1,"[0, 0]","[8, 15]"
24,1,-1,-1,-1,"[0, 0]","[8, 16]"
25,1,-1,-1,-1,"[0, 0]","[8, 17]"
26,1,-1,-1,-1,"[0, 0]","[8, 18]"
27,0,-1,-1,-1,"[0, 0]","[9, 18]"
28,1,-1,-1,-1,"[0, 0]","[9, 19]"
29,0,-1,-1,-1,"[0, 0]","[10, 19]"
30,0,-1,-1,-1,"[0, 0]","[11, 19]"
