time,arm,reward,cost,performance,estimates,counts
1,1,-1,-1,-1,"[0, 0]","[0, 1]"
2,0,-1,-1,-1,"[0, 0]","[1, 1]"
3,1,-1,-1,-1,"[0, 0]","[1, 2]"
4,1,-1,-1,-1,"[0, 0]","[1, 3]"
5,0,-1,-1,-1,"[0, 0]","[2, 3]"
6,0,-1,-1,-1,"[0, 0]","[3, 3]"
7,1,-1,-1,-1,"[0, 0]","[3, 4]"
8,0,-1,-1,-1,"[0, 0]","[4, 4]"
9,1,-1,-1,-1,"[0, 0]","[4, 5]"
10,1,-1,-1,-1,"[0, 0]","[4, 6]"
11,1,-1,-1,-1,"[0, 0]","[4, 7]"
12,0,-1,-1,-1,"[0, 0]","[5, 7]"
13,0,-1,-1,-1,"[0, 0]","[6, 7]"
14,1,-1,-1,-1,"[0, 0]","[6, 8]"
15,0,-1,-1,-1,"[0, 0]","[7, 8]"
16,0,-1,-1,-1,"[0, 0]","[8, 8]"
17,1,-1,-1,-1,"[0, 0]","[8, 9]"
18,1,-1,-1,-1,"[0, 0]","[8, 10]"
19,0,-1,-1,-1,"[0, 0]","[9, 10]"
20,0,-1,-1,-1,"[0, 0]","[10, 10]"
21,0,-1,-1,-1,"[0, 0]","[11, 10]"
22,1,-1,-1,-1,"[0, 0]","[11, 11]"
23,0,-1,-1,-1,"[0, 0]","[12, 11]"
24,1,-1,-1,-1,"[0, 0]","[12, 12]"
25,0,-1,-1,-1,"[0, 0]","[13, 12]"
26,0,-1,-1,-1,"[0, 0]","[14, 12]"
27,0,-1,-1,-1,"[0, 0]","[15, 12]"
28,0,-1,-1,-1,"[0, 0]","[16, 12]"
29,1,-1,-1,-1,"[0, 0]","[16, 13]"
30,0,-1,-1,-1,"[0, 0]","[17, 13]"
