time,arm,reward,cost,performance,estimates,counts
1,0,925.289720453244,-1,926.289720453244,"[925.289720453244, 0]","[1, 0]"
2,1,135.33338092393137,-1,136.33338092393137,"[925.289720453244, 135.33338092393137]","[1, 1]"
3,0,781.4382862793366,-1,782.4382862793366,"[853.3640033662903, 135.33338092393137]","[2, 1]"
4,0,1113.8360005454942,-1,1114.8360005454942,"[940.1880024260249, 135.33338092393137]","[3, 1]"
5,0,655.7624597661224,-1,656.7624597661224,"[869.0816167610493, 135.33338092393137]","[4, 1]"
6,1,1567.9140189349398,-1,1568.9140189349398,"[869.0816167610493, 851.6236999294356]","[4, 2]"
7,1,1917.3866119060767,-1,1918.3866119060767,"[869.0816167610493, 1206.8780039216495]","[4, 3]"
8,1,1158.1130326230304,-1,1159.1130326230304,"[869.0816167610493, 1194.6867610969948]","[4, 4]"
9,1,1515.0155197129855,-1,1516.0155197129855,"[869.0816167610493, 1258.752512820193]","[4, 5]"
10,1,230.5903878235359,-1,231.5903878235359,"[869.0816167610493, 1087.3921586540835]","[4, 6]"
11,1,669.3229522273862,-1,670.3229522273862,"[869.0816167610493, 1027.6679863074125]","[4, 7]"
12,0,984.2541128045639,-1,985.2541128045639,"[892.1161159697523, 1027.6679863074125]","[5, 7]"
13,0,879.3774194299359,-1,880.3774194299359,"[889.9929998797829, 1027.6679863074125]","[6, 7]"
14,1,625.1163128590841,-1,626.1163128590841,"[889.9929998797829, 977.3490271263715]","[6, 8]"
15,0,1064.0077136265309,-1,1065.0077136265309,"[914.852244700747, 977.3490271263715]","[7, 8]"
16,1,531.3253502404332,-1,532.3253502404332,"[914.852244700747, 927.7908408057117]","[7, 9]"
17,0,675.0200476574951,-1,676.0200476574951,"[884.8732200703405, 927.7908408057117]","[8, 9]"
18,0,1599.0989555328742,-1,1600.0989555328742,"[964.2316351217331, 927.7908408057117]","[9, 9]"
19,0,407.1234876055,-1,408.1234876055,"[908.5208203701097, 927.7908408057117]","[10, 9]"
20,1,926.4531239140172,-1,927.4531239140172,"[908.5208203701097, 927.6570691165423]","[10, 10]"
21,1,1753.709540573458,-1,1754.709540573458,"[908.5208203701097, 1002.7527483398983]","[10, 11]"
22,1,489.36222395887427,-1,490.36222395887427,"[908.5208203701097, 959.9702046414797]","[10, 12]"
23,0,1599.4813072172067,-1,1600.4813072172067,"[971.3354100834822, 959.9702046414797]","[11, 12]"
24,0,1272.7190767368634,-1,1273.7190767368634,"[996.4507156379306, 959.9702046414797]","[12, 12]"
25,0,1375.8796099044919,-1,1376.8796099044919,"[1025.6375536584353, 959.9702046414797]","[13, 12]"
26,0,1801.4367473823702,-1,1802.4367473823702,"[1081.0517817815735, 959.9702046414797]","[14, 12]"
27,0,1453.5959728186126,-1,1454.5959728186126,"[1105.8880611840427, 959.9702046414797]","[15, 12]"
28,0,2600.928199714007,-1,2601.928199714007,"[1199.3280698421654, 959.9702046414797]","[16, 12]"
29,0,1216.6098718898381,-1,1217.6098718898381,"[1200.3446464332048, 959.9702046414797]","[17, 12]"
