time,arm,reward,cost,performance,estimates,counts
1,0,954.4483296701187,-1,955.4483296701187,"[954.4483296701187, 0]","[1, 0]"
2,1,614.3046379849256,-1,615.3046379849256,"[954.4483296701187, 614.3046379849256]","[1, 1]"
3,0,1478.9852452700488,-1,1479.9852452700488,"[1216.7167874700838, 614.3046379849256]","[2, 1]"
4,0,1165.972169269725,-1,1166.972169269725,"[1199.801914736631, 614.3046379849256]","[3, 1]"
5,1,1317.3759556288455,-1,1318.3759556288455,"[1199.801914736631, 965.8402968068856]","[3, 2]"
6,1,1154.866110346022,-1,1155.866110346022,"[1199.801914736631, 1028.848901319931]","[3, 3]"
7,0,404.6991670520224,-1,405.6991670520224,"[1001.0262278154788, 1028.848901319931]","[4, 3]"
8,1,638.2610327145989,-1,639.2610327145989,"[1001.0262278154788, 931.201934168598]","[4, 4]"
9,0,382.9256576151354,-1,383.9256576151354,"[877.4061137754102, 931.201934168598]","[5, 4]"
10,1,724.3644158091571,-1,725.3644158091571,"[877.4061137754102, 889.8344304967098]","[5, 5]"
11,1,716.2825456388083,-1,717.2825456388083,"[877.4061137754102, 860.9091163537263]","[5, 6]"
12,0,775.3930550839796,-1,776.3930550839796,"[860.4039373268384, 860.9091163537263]","[6, 6]"
13,1,989.7350651050456,-1,990.7350651050456,"[860.4039373268384, 879.3128233182006]","[6, 7]"
14,0,656.7643839336988,-1,657.7643839336988,"[831.31257255639, 879.3128233182006]","[7, 7]"
15,1,1116.6794730550585,-1,1117.6794730550585,"[831.31257255639, 908.9836545353078]","[7, 8]"
16,1,1183.1574527104146,-1,1184.1574527104146,"[831.31257255639, 939.4474098880974]","[7, 9]"
17,0,847.772852792395,-1,848.772852792395,"[833.3701075858908, 939.4474098880974]","[8, 9]"
18,1,285.91824782333623,-1,286.91824782333623,"[833.3701075858908, 874.0944936816213]","[8, 10]"
19,0,1643.161030485724,-1,1644.161030485724,"[923.3468767969833, 874.0944936816213]","[9, 10]"
20,0,1327.9622694671432,-1,1328.9622694671432,"[963.8084160639994, 874.0944936816213]","[10, 10]"
21,0,1772.2807397602926,-1,1773.2807397602926,"[1037.3059000363896, 874.0944936816213]","[11, 10]"
22,0,797.1411241880166,-1,798.1411241880166,"[1017.2921687156918, 874.0944936816213]","[12, 10]"
23,0,861.1679754457159,-1,862.1679754457159,"[1005.2826153872321, 874.0944936816213]","[13, 10]"
24,0,896.3746303138902,-1,897.3746303138902,"[997.503473596279, 874.0944936816213]","[14, 10]"
25,1,1108.9508892211227,-1,1109.9508892211227,"[997.503473596279, 895.4450750943032]","[14, 11]"
26,0,985.66482476552,-1,986.66482476552,"[996.7142303408951, 895.4450750943032]","[15, 11]"
27,1,2553.6278620936027,-1,2554.6278620936027,"[996.7142303408951, 1033.6269740109115]","[15, 12]"
28,1,961.6653582594887,-1,962.6653582594887,"[996.7142303408951, 1028.0914651069559]","[15, 13]"
29,1,1569.1334759811707,-1,1570.1334759811707,"[996.7142303408951, 1066.7373230265428]","[15, 14]"
