time,arm,reward,cost,performance,estimates,counts
1,0,853.0696738284107,-1,854.0696738284107,"[853.0696738284107, 0]","[1, 0]"
2,1,209.7587850950894,-1,210.7587850950894,"[853.0696738284107, 209.7587850950894]","[1, 1]"
3,0,1207.0922103444852,-1,1208.0922103444852,"[1030.080942086448, 209.7587850950894]","[2, 1]"
4,0,483.11007047169886,-1,484.11007047169886,"[847.7573182148651, 209.7587850950894]","[3, 1]"
5,1,620.0865556869459,-1,621.0865556869459,"[847.7573182148651, 414.9226703910176]","[3, 2]"
6,0,941.3949429259699,-1,942.3949429259699,"[871.1667243926413, 414.9226703910176]","[4, 2]"
7,0,1149.9872027273493,-1,1150.9872027273493,"[926.930820059583, 414.9226703910176]","[5, 2]"
8,1,247.7074086236054,-1,248.7074086236054,"[926.930820059583, 359.18424980188024]","[5, 3]"
9,0,1018.2121253159207,-1,1019.2121253159207,"[942.1443709356392, 359.18424980188024]","[6, 3]"
10,0,2062.032138624131,-1,2063.032138624131,"[1102.128337748281, 359.18424980188024]","[7, 3]"
11,0,809.191237589456,-1,810.191237589456,"[1065.5112002284277, 359.18424980188024]","[8, 3]"
12,0,395.4573315373483,-1,396.4573315373483,"[991.0607703738633, 359.18424980188024]","[9, 3]"
13,0,1638.7164239610827,-1,1639.7164239610827,"[1055.8263357325852, 359.18424980188024]","[10, 3]"
14,0,1065.046265382482,-1,1066.046265382482,"[1056.664511155303, 359.18424980188024]","[11, 3]"
15,0,1505.9490112608155,-1,1506.9490112608155,"[1094.1048861640957, 359.18424980188024]","[12, 3]"
16,0,1747.183809319766,-1,1748.183809319766,"[1144.3417264068396, 359.18424980188024]","[13, 3]"
17,0,1915.3923932222822,-1,1916.3923932222822,"[1199.4167740365142, 359.18424980188024]","[14, 3]"
18,0,3024.386110732039,-1,3025.386110732039,"[1321.0813964828824, 359.18424980188024]","[15, 3]"
19,0,4408.279727632406,-1,4409.279727632406,"[1514.0312921797276, 359.18424980188024]","[16, 3]"
20,0,4791.8066233318095,-1,4792.8066233318095,"[1706.841605776909, 359.18424980188024]","[17, 3]"
21,0,5040.082368903902,-1,5041.082368903902,"[1892.021648172853, 359.18424980188024]","[18, 3]"
22,0,5448.142109041144,-1,5449.142109041144,"[2079.185882955395, 359.18424980188024]","[19, 3]"
23,0,6080.060210077332,-1,6081.060210077332,"[2279.2295993114917, 359.18424980188024]","[20, 3]"
24,0,6005.28559107228,-1,6006.28559107228,"[2456.6608370143863, 359.18424980188024]","[21, 3]"
25,0,6160.957851549844,-1,6161.957851549844,"[2625.037974038725, 359.18424980188024]","[22, 3]"
26,0,6471.609675124673,-1,6472.609675124673,"[2792.2802219120276, 359.18424980188024]","[23, 3]"
27,0,6558.701974142867,-1,6559.701974142867,"[2949.2144615883126, 359.18424980188024]","[24, 3]"
28,0,7229.631094264851,-1,7230.631094264851,"[3120.431126895374, 359.18424980188024]","[25, 3]"
29,0,7479.497470624907,-1,7480.497470624907,"[3288.087524731125, 359.18424980188024]","[26, 3]"
