time,arm,reward,cost,performance,estimates,counts
1,0,1000.9555510380982,-1,1001.9555510380982,"[1000.9555510380982, 0]","[1, 0]"
2,1,1478.613345074083,-1,1479.613345074083,"[1000.9555510380982, 1478.613345074083]","[1, 1]"
3,1,116.11008292928658,-1,117.11008292928658,"[1000.9555510380982, 797.3617140016848]","[1, 2]"
4,0,176.2434653066894,-1,177.2434653066894,"[588.5995081723938, 797.3617140016848]","[2, 2]"
5,1,1551.5190149752948,-1,1552.5190149752948,"[588.5995081723938, 1048.747480992888]","[2, 3]"
6,1,655.1698903280361,-1,656.1698903280361,"[588.5995081723938, 950.3530833266751]","[2, 4]"
7,1,1627.8756219769389,-1,1628.8756219769389,"[588.5995081723938, 1085.8575910567279]","[2, 5]"
8,1,1103.0480899106476,-1,1104.0480899106476,"[588.5995081723938, 1088.7226741990478]","[2, 6]"
9,1,1106.1958852165124,-1,1107.1958852165124,"[588.5995081723938, 1091.2188472015428]","[2, 7]"
