time,arm,reward,cost,performance,estimates,counts
1,0,774.0479203859945,-1,775.0479203859945,"[774.0479203859945, 0]","[1, 0]"
2,1,334.4048407633691,-1,335.4048407633691,"[774.0479203859945, 334.4048407633691]","[1, 1]"
3,0,679.7207110630985,-1,680.7207110630985,"[726.8843157245465, 334.4048407633691]","[2, 1]"
4,0,924.3659390463571,-1,925.3659390463571,"[792.7115234984833, 334.4048407633691]","[3, 1]"
5,0,268.610237675109,-1,269.610237675109,"[661.6862020426398, 334.4048407633691]","[4, 1]"
6,0,1799.9475139797546,-1,1800.9475139797546,"[889.3384644300629, 334.4048407633691]","[5, 1]"
7,0,1115.479115225341,-1,1116.479115225341,"[927.0285728959426, 334.4048407633691]","[6, 1]"
8,0,1794.4300129154535,-1,1795.4300129154535,"[1050.9430643273013, 334.4048407633691]","[7, 1]"
9,0,1322.893048599719,-1,1323.893048599719,"[1084.9368123613535, 334.4048407633691]","[8, 1]"
