time,arm,reward,cost,performance,estimates,counts
1,0,462.3798717657478,-1,463.3798717657478,"[462.3798717657478, 0]","[1, 0]"
2,1,536.3728112288678,-1,537.3728112288678,"[462.3798717657478, 536.3728112288678]","[1, 1]"
3,1,693.8316870163422,-1,694.8316870163422,"[462.3798717657478, 615.102249122605]","[1, 2]"
4,1,565.5755950036978,-1,566.5755950036978,"[462.3798717657478, 598.5933644163026]","[1, 3]"
5,1,416.00005180948824,-1,417.00005180948824,"[462.3798717657478, 552.945036264599]","[1, 4]"
6,1,634.1230619422416,-1,635.1230619422416,"[462.3798717657478, 569.1806414001276]","[1, 5]"
7,1,1132.3266419376516,-1,1133.3266419376516,"[462.3798717657478, 663.0383081563816]","[1, 6]"
8,1,173.2896407484885,-1,174.2896407484885,"[462.3798717657478, 593.0742128123969]","[1, 7]"
9,1,1416.1147388547565,-1,1417.1147388547565,"[462.3798717657478, 695.954278567692]","[1, 8]"
