time,arm,reward,cost,performance,estimates,counts
1,0,600.7326224784603,-1,601.7326224784603,"[600.7326224784603, 0]","[1, 0]"
2,1,1538.7612695132448,-1,1539.7612695132448,"[600.7326224784603, 1538.7612695132448]","[1, 1]"
3,1,2113.153088775579,-1,2114.153088775579,"[600.7326224784603, 1825.9571791444118]","[1, 2]"
4,1,1212.25648000143,-1,1213.25648000143,"[600.7326224784603, 1621.3902794300848]","[1, 3]"
5,1,165.85038628707227,-1,166.85038628707227,"[600.7326224784603, 1257.5053061443316]","[1, 4]"
6,1,571.0692880401787,-1,572.0692880401787,"[600.7326224784603, 1120.218102523501]","[1, 5]"
7,1,1294.4637422097694,-1,1295.4637422097694,"[600.7326224784603, 1149.2590424712125]","[1, 6]"
8,1,638.88986447797,-1,639.88986447797,"[600.7326224784603, 1076.3491599007493]","[1, 7]"
9,1,1382.128135443178,-1,1383.128135443178,"[600.7326224784603, 1114.571531843553]","[1, 8]"
