time,arm,reward,cost,performance,estimates,counts
1,1,1017.4818447609118,-1,1018.4818447609118,"[0, 1017.4818447609118]","[0, 1]"
2,0,588.3724237712844,-1,589.3724237712844,"[588.3724237712844, 1017.4818447609118]","[1, 1]"
3,1,1539.0489438319669,-1,1540.0489438319669,"[588.3724237712844, 1278.2653942964394]","[1, 2]"
4,1,1673.0725450623438,-1,1674.0725450623438,"[588.3724237712844, 1409.8677778850742]","[1, 3]"
5,1,1709.2463137541602,-1,1710.2463137541602,"[588.3724237712844, 1484.7124118523457]","[1, 4]"
6,1,572.2634532362048,-1,573.2634532362048,"[588.3724237712844, 1302.2226201291173]","[1, 5]"
7,1,1145.9400969077496,-1,1146.9400969077496,"[588.3724237712844, 1276.1755329255561]","[1, 6]"
8,1,571.419185792404,-1,572.419185792404,"[588.3724237712844, 1175.4960547636774]","[1, 7]"
9,1,1518.5384580320492,-1,1519.5384580320492,"[588.3724237712844, 1218.376355172224]","[1, 8]"
