time,arm,reward,cost,performance,estimates,counts
1,0,925.289720453244,-1,926.289720453244,"[925.289720453244, 0]","[1, 0]"
2,1,135.33338092393137,-1,136.33338092393137,"[925.289720453244, 135.33338092393137]","[1, 1]"
3,0,781.4382862793366,-1,782.4382862793366,"[853.3640033662903, 135.33338092393137]","[2, 1]"
4,0,1113.8360005454942,-1,1114.8360005454942,"[940.1880024260249, 135.33338092393137]","[3, 1]"
5,0,655.7624597661224,-1,656.7624597661224,"[869.0816167610493, 135.33338092393137]","[4, 1]"
6,0,1510.6774235253824,-1,1511.6774235253824,"[997.400778113916, 135.33338092393137]","[5, 1]"
7,0,1353.4475407624595,-1,1354.4475407624595,"[1056.7419052220066, 135.33338092393137]","[6, 1]"
8,0,2145.986902944037,-1,2146.986902944037,"[1212.3483334680109, 135.33338092393137]","[7, 1]"
9,0,2088.070913875973,-1,2089.070913875973,"[1321.813656019006, 135.33338092393137]","[8, 1]"
10,0,1066.8154657088717,-1,1067.8154657088717,"[1293.4805237623243, 135.33338092393137]","[9, 1]"
11,0,1228.006226631551,-1,1229.006226631551,"[1286.933094049247, 135.33338092393137]","[10, 1]"
12,0,1728.9147018508968,-1,1729.9147018508968,"[1327.1132402130334, 135.33338092393137]","[11, 1]"
13,0,1815.7714911935286,-1,1816.7714911935286,"[1367.8347611280747, 135.33338092393137]","[12, 1]"
14,0,1454.9891835540548,-1,1455.9891835540548,"[1374.5389474685348, 135.33338092393137]","[13, 1]"
15,0,1427.5912103365026,-1,1428.5912103365026,"[1378.328394816247, 135.33338092393137]","[14, 1]"
16,0,1943.3747983350488,-1,1944.3747983350488,"[1415.998155050834, 135.33338092393137]","[15, 1]"
17,0,1550.2409006326209,-1,1551.2409006326209,"[1424.3883266496955, 135.33338092393137]","[16, 1]"
18,0,2648.4061922412848,-1,2649.4061922412848,"[1496.3893775668478, 135.33338092393137]","[17, 1]"
19,0,1710.4009881424142,-1,1711.4009881424142,"[1508.2789114877125, 135.33338092393137]","[18, 1]"
20,0,1329.0600965467204,-1,1330.0600965467204,"[1498.846342280292, 135.33338092393137]","[19, 1]"
21,0,2690.5788452985494,-1,2691.5788452985494,"[1558.4329674312048, 135.33338092393137]","[20, 1]"
22,0,1470.047126560385,-1,1471.047126560385,"[1554.2241178659276, 135.33338092393137]","[21, 1]"
23,0,2698.492978304189,-1,2699.492978304189,"[1606.2363387949397, 135.33338092393137]","[22, 1]"
24,0,3001.5295167346985,-1,3002.5295167346985,"[1666.901259574929, 135.33338092393137]","[23, 1]"
25,0,3316.788566252018,-1,3317.788566252018,"[1735.6465640198078, 135.33338092393137]","[24, 1]"
26,0,3644.5766910804045,-1,3645.5766910804045,"[1812.0037691022314, 135.33338092393137]","[25, 1]"
27,0,4568.342967285422,-1,4569.342967285422,"[1918.0168151862003, 135.33338092393137]","[26, 1]"
28,0,5609.687670694364,-1,5610.687670694364,"[2054.7453653902066, 135.33338092393137]","[27, 1]"
29,0,5746.5641921215965,-1,5747.5641921215965,"[2186.5960377734705, 135.33338092393137]","[28, 1]"
