time,arm,reward,cost,performance,estimates,counts
1,1,-1,-1,-1,"[0, 0]","[0, 1]"
2,0,-1,-1,-1,"[0, 0]","[1, 1]"
3,0,-1,-1,-1,"[0, 0]","[2, 1]"
4,0,-1,-1,-1,"[0, 0]","[3, 1]"
5,1,-1,-1,-1,"[0, 0]","[3, 2]"
6,1,-1,-1,-1,"[0, 0]","[3, 3]"
7,0,-1,-1,-1,"[0, 0]","[4, 3]"
8,0,-1,-1,-1,"[0, 0]","[5, 3]"
9,0,-1,-1,-1,"[0, 0]","[6, 3]"
10,0,-1,-1,-1,"[0, 0]","[7, 3]"
11,0,-1,-1,-1,"[0, 0]","[8, 3]"
12,0,-1,-1,-1,"[0, 0]","[9, 3]"
13,1,-1,-1,-1,"[0, 0]","[9, 4]"
14,1,-1,-1,-1,"[0, 0]","[9, 5]"
15,0,-1,-1,-1,"[0, 0]","[10, 5]"
16,1,-1,-1,-1,"[0, 0]","[10, 6]"
17,0,-1,-1,-1,"[0, 0]","[11, 6]"
18,0,-1,-1,-1,"[0, 0]","[12, 6]"
19,1,-1,-1,-1,"[0, 0]","[12, 7]"
20,1,-1,-1,-1,"[0, 0]","[12, 8]"
21,1,-1,-1,-1,"[0, 0]","[12, 9]"
22,1,-1,-1,-1,"[0, 0]","[12, 10]"
23,0,-1,-1,-1,"[0, 0]","[13, 10]"
24,0,-1,-1,-1,"[0, 0]","[14, 10]"
25,0,-1,-1,-1,"[0, 0]","[15, 10]"
26,0,-1,-1,-1,"[0, 0]","[16, 10]"
27,1,-1,-1,-1,"[0, 0]","[16, 11]"
28,1,-1,-1,-1,"[0, 0]","[16, 12]"
29,0,-1,-1,-1,"[0, 0]","[17, 12]"
30,1,-1,-1,-1,"[0, 0]","[17, 13]"
