time,arm,reward,cost,performance,estimates,counts
1,1,582.1215069765532,-1,583.1215069765532,"[0, 582.1215069765532]","[0, 1]"
2,0,1142.5866631332028,-1,1143.5866631332028,"[1142.5866631332028, 582.1215069765532]","[1, 1]"
3,0,2114.8062881513983,-1,2115.8062881513983,"[1628.6964756423006, 582.1215069765532]","[2, 1]"
4,0,1136.4337629053282,-1,1137.4337629053282,"[1464.6089047299765, 582.1215069765532]","[3, 1]"
5,0,1130.9790441572645,-1,1131.9790441572645,"[1381.2014395867986, 582.1215069765532]","[4, 1]"
6,0,728.4805481229286,-1,729.4805481229286,"[1250.6572612940247, 582.1215069765532]","[5, 1]"
7,1,1418.0070474055242,-1,1419.0070474055242,"[1250.6572612940247, 1000.0642771910386]","[5, 2]"
8,1,889.1406140730585,-1,890.1406140730585,"[1250.6572612940247, 963.0897228183786]","[5, 3]"
9,0,2362.2544464174425,-1,2363.2544464174425,"[1435.9234588145941, 963.0897228183786]","[6, 3]"
10,0,1971.3913209342231,-1,1972.3913209342231,"[1512.418867688827, 963.0897228183786]","[7, 3]"
11,0,2496.7383561737342,-1,2497.7383561737342,"[1635.4588037494404, 963.0897228183786]","[8, 3]"
12,0,1554.8364968282424,-1,1555.8364968282424,"[1626.500769647085, 963.0897228183786]","[9, 3]"
13,0,1526.8864867137497,-1,1527.8864867137497,"[1616.5393413537515, 963.0897228183786]","[10, 3]"
14,0,2436.8450755662443,-1,2437.8450755662443,"[1691.1125899185236, 963.0897228183786]","[11, 3]"
15,0,1861.2224136146015,-1,1862.2224136146015,"[1705.2884085598632, 963.0897228183786]","[12, 3]"
16,0,1829.3019832807774,-1,1830.3019832807774,"[1714.827914307626, 963.0897228183786]","[13, 3]"
17,0,1934.6503833875238,-1,1935.6503833875238,"[1730.5295192419046, 963.0897228183786]","[14, 3]"
18,0,1261.443332268135,-1,1262.443332268135,"[1699.2571067769868, 963.0897228183786]","[15, 3]"
19,0,644.4935649130588,-1,645.4935649130588,"[1633.3343854104914, 963.0897228183786]","[16, 3]"
20,0,1455.5408311648564,-1,1456.5408311648564,"[1622.8759410431012, 963.0897228183786]","[17, 3]"
21,0,2956.135987818322,-1,2957.135987818322,"[1696.9459436417244, 963.0897228183786]","[18, 3]"
22,0,1438.7460616522796,-1,1439.7460616522796,"[1683.356476168596, 963.0897228183786]","[19, 3]"
23,0,3202.62780052496,-1,3203.62780052496,"[1759.3200423864141, 963.0897228183786]","[20, 3]"
24,0,3988.665622814363,-1,3989.665622814363,"[1865.4793557401258, 963.0897228183786]","[21, 3]"
25,0,2499.584678641223,-1,2500.584678641223,"[1894.302324962903, 963.0897228183786]","[22, 3]"
26,0,1786.966745135264,-1,1787.966745135264,"[1889.6355606225711, 963.0897228183786]","[23, 3]"
27,0,1743.74407739666,-1,1744.74407739666,"[1883.5567488214915, 963.0897228183786]","[24, 3]"
28,0,1974.1337818768952,-1,1975.1337818768952,"[1887.1798301437077, 963.0897228183786]","[25, 3]"
29,0,2054.644813074647,-1,2055.644813074647,"[1893.6207910256671, 963.0897228183786]","[26, 3]"
