time,arm,reward,cost,performance,estimates,counts
1,1,1040.0896793529978,-1,1041.0896793529978,"[0, 1040.0896793529978]","[0, 1]"
2,0,1197.5191476604282,-1,1198.5191476604282,"[1197.5191476604282, 1040.0896793529978]","[1, 1]"
3,0,78.14292761666206,-1,79.14292761666206,"[637.8310376385451, 1040.0896793529978]","[2, 1]"
4,1,168.44442552346416,-1,169.44442552346416,"[637.8310376385451, 604.267052438231]","[2, 2]"
5,0,1701.6107235129275,-1,1702.6107235129275,"[992.4242662633392, 604.267052438231]","[3, 2]"
6,0,716.5033481348243,-1,717.5033481348243,"[923.4440367312104, 604.267052438231]","[4, 2]"
7,0,1891.0703188285054,-1,1892.0703188285054,"[1116.9692931506695, 604.267052438231]","[5, 2]"
8,0,1474.9595947561945,-1,1475.9595947561945,"[1176.634343418257, 604.267052438231]","[6, 2]"
9,0,863.9841110088113,-1,864.9841110088113,"[1131.970024502622, 604.267052438231]","[7, 2]"
10,0,1579.0208419610065,-1,1580.0208419610065,"[1187.85137668492, 604.267052438231]","[8, 2]"
11,0,3189.266872467396,-1,3190.266872467396,"[1410.2308762163061, 604.267052438231]","[9, 2]"
12,0,1658.3782074557892,-1,1659.3782074557892,"[1435.0456093402545, 604.267052438231]","[10, 2]"
13,0,735.7572817817053,-1,736.7572817817053,"[1371.4739431985681, 604.267052438231]","[11, 2]"
14,0,1444.8743056622216,-1,1445.8743056622216,"[1377.5906400705392, 604.267052438231]","[12, 2]"
15,0,2623.5853478412237,-1,2624.5853478412237,"[1473.4363868221303, 604.267052438231]","[13, 2]"
16,0,1167.5222444777803,-1,1168.5222444777803,"[1451.5853766546768, 604.267052438231]","[14, 2]"
17,0,3068.6703918739145,-1,3069.6703918739145,"[1559.3910443359594, 604.267052438231]","[15, 2]"
18,0,6338.2076588317195,-1,6339.2076588317195,"[1858.0670827419444, 604.267052438231]","[16, 2]"
19,0,6314.9505642958275,-1,6315.9505642958275,"[2120.2366993039373, 604.267052438231]","[17, 2]"
20,0,6049.153056272731,-1,6050.153056272731,"[2338.509830246648, 604.267052438231]","[18, 2]"
21,0,6798.771212595325,-1,6799.771212595325,"[2573.2604293176314, 604.267052438231]","[19, 2]"
22,0,5567.837535170145,-1,5568.837535170145,"[2722.989284610257, 604.267052438231]","[20, 2]"
23,0,7845.345877820544,-1,7846.345877820544,"[2966.9110271440804, 604.267052438231]","[21, 2]"
24,0,6858.931275952047,-1,6859.931275952047,"[3143.821038453533, 604.267052438231]","[22, 2]"
25,0,8219.376038617385,-1,8220.376038617385,"[3364.4973428084836, 604.267052438231]","[23, 2]"
26,0,8338.101468600507,-1,8339.101468600507,"[3571.730848049818, 604.267052438231]","[24, 2]"
27,0,8389.743601642573,-1,8390.743601642573,"[3764.451358193528, 604.267052438231]","[25, 2]"
28,0,9270.994435382636,-1,9271.994435382636,"[3976.2414765469557, 604.267052438231]","[26, 2]"
29,0,8558.38235349069,-1,8559.38235349069,"[4145.950397915242, 604.267052438231]","[27, 2]"
