time,arm,reward,cost,performance,estimates,counts
1,0,853.0696738284107,-1,854.0696738284107,"[853.0696738284107, 0]","[1, 0]"
2,1,209.7587850950894,-1,210.7587850950894,"[853.0696738284107, 209.7587850950894]","[1, 1]"
3,0,1207.0922103444852,-1,1208.0922103444852,"[1030.080942086448, 209.7587850950894]","[2, 1]"
4,0,483.11007047169886,-1,484.11007047169886,"[847.7573182148651, 209.7587850950894]","[3, 1]"
5,0,734.5264860086253,-1,735.5264860086253,"[819.4496101633051, 209.7587850950894]","[4, 1]"
6,1,660.6323150777783,-1,661.6323150777783,"[819.4496101633051, 435.19555008643385]","[4, 2]"
7,0,1568.7860454528043,-1,1569.7860454528043,"[969.3168972212051, 435.19555008643385]","[5, 2]"
8,0,273.25728475074527,-1,274.25728475074527,"[853.3069618094619, 435.19555008643385]","[6, 2]"
9,1,1432.4107247589998,-1,1433.4107247589998,"[853.3069618094619, 767.6006083106225]","[6, 3]"
10,1,1739.7113585007867,-1,1740.7113585007867,"[853.3069618094619, 1010.6282958581635]","[6, 4]"
11,1,1196.4503957868365,-1,1197.4503957868365,"[853.3069618094619, 1047.7927158438981]","[6, 5]"
12,1,259.620311601691,-1,260.620311601691,"[853.3069618094619, 916.430648470197]","[6, 6]"
13,1,1675.0906647138677,-1,1676.0906647138677,"[853.3069618094619, 1024.8106507907214]","[6, 7]"
14,1,343.642982415584,-1,344.642982415584,"[853.3069618094619, 939.6646922438292]","[6, 8]"
15,0,1008.7629921939355,-1,1009.7629921939355,"[875.514966150101, 939.6646922438292]","[7, 8]"
16,1,1051.988448663037,-1,1052.988448663037,"[875.514966150101, 952.1451096237412]","[7, 9]"
17,1,1707.8963901909333,-1,1708.8963901909333,"[875.514966150101, 1027.7202376804603]","[7, 10]"
18,1,948.7827778734037,-1,949.7827778734037,"[875.514966150101, 1020.5441049707279]","[7, 11]"
19,1,1337.328163770665,-1,1338.328163770665,"[875.514966150101, 1046.9427765373894]","[7, 12]"
20,1,1881.5095508264849,-1,1882.5095508264849,"[875.514966150101, 1111.1402207134736]","[7, 13]"
21,1,755.9720412517083,-1,756.9720412517083,"[875.514966150101, 1085.7710650376332]","[7, 14]"
22,1,2048.0136422719897,-1,2049.0136422719897,"[875.514966150101, 1149.9205701865903]","[7, 15]"
23,1,935.0795841849525,-1,936.0795841849525,"[875.514966150101, 1136.493008561488]","[7, 16]"
24,1,924.9577659883109,-1,925.9577659883109,"[875.514966150101, 1124.04975899836]","[7, 17]"
25,1,1448.3605804979236,-1,1449.3605804979236,"[875.514966150101, 1142.0670268594467]","[7, 18]"
26,1,806.568014578885,-1,807.568014578885,"[875.514966150101, 1124.4091841078384]","[7, 19]"
27,0,1553.261792257631,-1,1554.261792257631,"[960.2333194135423, 1124.4091841078384]","[8, 19]"
28,0,1181.6057891598525,-1,1182.6057891598525,"[984.8302604964656, 1124.4091841078384]","[9, 19]"
29,0,770.7923140399666,-1,771.7923140399666,"[963.4264658508157, 1124.4091841078384]","[10, 19]"
